0;2024-05-06;Доход;70000;Зарплата
1;2024-05-06;Расход;450;Продукты
2;2024-05-06;Доход;200;Подарок
3;2024-05-06;Расход;1200;Квартплата
4;2024-05-06;Доход;1000;Продажа вещей
5;2024-05-06;Расход;300;Развлечения
6;2024-05-06;Доход;500;Возврат долга
7;2024-05-06;Расход;200;Транспорт
8;2024-05-06;Доход;300;Подработка
9;2024-05-06;Расход;150;Кафе
10;2024-05-06;Доход;5000;Заработная плата
11;2024-05-06;Расход;300;Покупка продуктов
12;2024-05-06;Доход;1500;Продажа вещей
13;2024-05-06;Расход;1000;Оплата квартплаты
14;2024-05-06;Доход;200;Подарок от бабушки;75100
